 season 1.22599 -0.00435 0.756 1.25036 -0.00459
 season 0.99319 0.00162 0.596 1.09581 -0.00069
 season 0.93705 0.00514 0.577 0.99027 0.00378
 season 0.88538 0.01332 0.565 0.97302 0.01231
 season 0.84120 -0.00065 0.524 0.83785 -0.00077
 season 0.78295 -0.00697 0.501 0.88361 -0.00977
 season 1.05529 0.00809 0.622 1.06192 0.00931
 season 1.01658 0.00264 0.632 1.11164 0.00009
 season 0.97952 0.01002 0.599 0.98619 0.00999
 season 0.52121 0.00426 0.361 0.51677 0.00438
 season 1.10190 -0.00558 0.628 1.15713 -0.00580
 season 0.59268 0.00474 0.372 0.60077 0.00427
 season 0.76525 0.01082 0.462 0.76571 0.01082
 season 0.55503 0.00640 0.348 0.53803 0.00644
 season 0.85940 0.00134 0.553 0.94816 -0.00108
 season 0.72888 0.01865 0.446 0.69867 0.02020
 season 1.07166 0.00660 0.625 1.13232 0.00596
 season 0.90524 0.00398 0.563 0.99813 0.00173
 season 0.81531 0.00107 0.506 0.87087 -0.00049
 season 1.00728 0.00581 0.610 1.02907 0.00510
 season 1.03048 0.00793 0.610 1.05990 0.00884
 season 0.74743 0.00848 0.483 0.80655 0.00692
 season 1.18800 -0.00606 0.668 1.23134 -0.00689
 season 0.96043 0.00876 0.632 1.06538 0.00707
 season 0.98805 0.00950 0.591 1.03603 0.00928
 season 1.20290 -0.00140 0.691 1.20422 -0.00133
 season 0.55156 0.00670 0.352 0.54138 0.00604
 season 0.70943 0.00448 0.461 0.72268 0.00424
 season 1.19730 0.00333 0.646 1.20009 0.00348
 season 0.83464 0.00155 0.489 0.88591 0.00078
 season 0.94438 0.00464 0.630 0.99458 0.00300
 season 1.00700 0.00430 0.587 1.03974 0.00352
 season 1.00690 0.00299 0.593 1.05914 0.00153
 season 0.97680 -0.00335 0.678 1.02795 -0.00530
 season 0.37463 0.00603 0.242 0.32035 0.00573
 season 1.11045 0.00587 0.706 1.19973 0.00449
 season 1.24842 -0.00017 0.671 1.32003 -0.00132
 season 1.02974 0.00925 0.632 1.09352 0.00857
 season 1.02421 0.00618 0.671 1.10413 0.00536
 season 1.20010 0.00150 0.756 1.24030 0.00145
 season 0.90819 -0.00687 0.577 0.88476 -0.00796
 season 0.88626 -0.00813 0.559 0.94679 -0.00969
 season 0.74922 -0.00017 0.450 0.80100 -0.00112
 season 1.20738 -0.00345 0.805 1.30088 -0.00593
 season 0.97921 -0.00201 0.555 1.01627 -0.00279
 season 0.84333 0.00230 0.533 0.87690 0.00132
 season 0.85287 -0.00065 0.578 0.89776 -0.00179
 season 0.85296 -0.00159 0.565 0.86563 -0.00178
 season 1.03628 -0.00863 0.646 1.03628 -0.00863
 season 1.01673 0.00784 0.616 1.07938 0.00788
 season 1.01414 -0.01322 0.646 1.08697 -0.01427
 season 0.99827 0.00121 0.572 0.99858 0.00107
 season 0.77660 -0.01622 0.464 0.84095 -0.01838
 season 0.53714 0.00140 0.400 0.54766 0.00092
 season 0.76871 0.02774 0.525 0.74855 0.02960
 season 0.63457 -0.00701 0.421 0.64425 -0.00827
 season 0.57133 -0.00209 0.368 0.56645 -0.00254
 season 0.86918 0.01887 0.534 0.90040 0.01926
