    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
        inter       -0.5439       -1.0562       -1.1295        0.0062       -0.0113
        inter       -0.3185       -0.5858       -0.5793        0.0025       -0.0224
        inter       -0.3463       -0.7087       -0.6599       -0.0073       -0.0336
        inter       -0.4289       -0.7284       -0.7386       -0.0309       -0.0474
        inter       -0.1804       -0.3374       -0.3364        0.0268        0.0174
        inter       -0.3710       -0.6490       -0.6359       -0.0232       -0.0490
        inter       -0.3349       -0.6047       -0.5795       -0.0344       -0.0544
        inter       -0.3261       -0.5568       -0.5962        0.0061       -0.0160
        inter       -0.6393       -1.0337       -1.0647       -0.0406       -0.0510
        inter       -0.4650       -0.7573       -0.7668       -0.0322       -0.0496
        inter       -0.3971       -0.6597       -0.7463        0.0422        0.0126
        inter       -0.3750       -0.5123       -0.5498        0.0182        0.0129
        inter       -0.2969       -0.5020       -0.5787        0.0200        0.0088
        inter       -0.4613       -0.7486       -0.7835       -0.0313       -0.0467
        inter       -0.3789       -0.6672       -0.6648        0.0104       -0.0091
        inter       -0.5592       -0.7737       -0.8162       -0.0530       -0.0669
        inter       -0.3886       -0.6711       -0.8040        0.0521        0.0395
        inter       -0.2550       -0.3420       -0.4068       -0.0417       -0.0661
        inter       -0.4277       -0.7189       -0.7425       -0.0369       -0.0480
        inter       -0.3989       -0.9014       -0.9103        0.0424        0.0352
        inter       -0.5851       -0.9564       -1.0113        0.0275        0.0002
        inter       -0.3280       -0.6152       -0.6530        0.0623        0.0417
        inter       -0.5699       -0.9174       -0.9879       -0.0147       -0.0328
        inter       -0.5519       -1.0641       -1.0527        0.0061       -0.0209
        inter       -0.4758       -0.8829       -0.9429       -0.0095       -0.0357
        inter       -0.4927       -0.8620       -0.9032        0.0457        0.0192
        inter       -0.4227       -0.8343       -0.8698        0.0596        0.0350
        inter       -0.2942       -0.4825       -0.5454       -0.0318       -0.0533
        inter       -0.6001       -0.9282       -0.9270        0.0040       -0.0057
        inter       -0.4998       -0.9138       -0.8808        0.0250        0.0090
        inter       -0.4953       -0.8290       -0.8573        0.0043       -0.0189
        inter       -0.4100       -0.5990       -0.6177        0.0164        0.0070
        inter       -0.4102       -0.8444       -0.9262        0.0190       -0.0140
