    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
     deseason       -0.4930       -0.8941       -0.8490       -0.0229       -0.0261
     deseason       -0.4681       -0.8076       -0.7589       -0.0640       -0.0706
     deseason       -0.4925       -0.8993       -0.8452        0.0201        0.0252
     deseason       -0.5341       -0.9983       -1.0234       -0.0207       -0.0204
     deseason       -0.5293       -0.9691       -0.8845        0.0276        0.0308
     deseason       -0.5705       -1.1452       -0.9840        0.0450        0.0205
     deseason       -0.6226       -1.1949       -1.1350        0.0143        0.0001
     deseason       -0.5154       -1.0822       -0.9884        0.0342        0.0139
     deseason       -0.5465       -1.0643       -1.0089       -0.0244       -0.0221
     deseason       -0.5955       -1.3935       -1.1749       -0.0328       -0.0426
     deseason       -0.4474       -0.8938       -0.8016       -0.0103       -0.0167
     deseason       -0.5156       -1.1856       -1.0803        0.0348        0.0320
     deseason       -0.4962       -0.9963       -0.8983        0.0370        0.0280
     deseason       -0.4946       -1.0872       -0.9343       -0.0189       -0.0271
     deseason       -0.4970       -0.8626       -0.8105       -0.0573       -0.0561
     deseason       -0.5512       -1.2292       -1.1456       -0.0575       -0.0654
     deseason       -0.5307       -1.0112       -1.0280       -0.0226       -0.0182
     deseason       -0.5416       -1.1449       -1.1538        0.0145        0.0226
     deseason       -0.5018       -0.9958       -0.9149       -0.0130       -0.0290
     deseason       -0.4704       -0.8544       -0.8678       -0.0187       -0.0185
     deseason       -0.5140       -1.1698       -1.1107        0.0152        0.0182
     deseason       -0.5486       -1.2029       -1.1349        0.0132        0.0056
     deseason       -0.5518       -1.2215       -1.0009       -0.0071       -0.0280
     deseason       -0.4812       -0.9407       -0.8409        0.0318        0.0213
     deseason       -0.5349       -1.0067       -0.9815       -0.0301       -0.0356
     deseason       -0.5318       -0.9560       -0.8998       -0.0187       -0.0250
     deseason       -0.4615       -0.8401       -0.8019        0.0063        0.0025
     deseason       -0.4011       -0.7884       -0.7127        0.0137       -0.0058
     deseason       -0.5130       -1.1318       -1.0417       -0.0443       -0.0592
     deseason       -0.5667       -1.2020       -1.0400        0.0836        0.0827
     deseason       -0.5663       -1.2699       -1.1858        0.0290        0.0109
     deseason       -0.6261       -1.2792       -1.2105       -0.0254       -0.0401
     deseason       -0.5336       -1.0968       -1.0410       -0.0011       -0.0014
     deseason       -0.5545       -1.1853       -1.1162       -0.0561       -0.0560
     deseason       -0.5627       -1.2507       -1.1851        0.0187        0.0104
     deseason       -0.5275       -1.0060       -0.9555       -0.0507       -0.0529
     deseason       -0.5046       -1.0327       -0.9996       -0.0089       -0.0191
     deseason       -0.4884       -0.9118       -0.8774       -0.0279       -0.0189
     deseason       -0.5742       -1.1052       -1.1273        0.0452        0.0529
     deseason       -0.6019       -1.2863       -1.1541        0.0684        0.0356
     deseason       -0.5033       -1.0983       -0.9586       -0.0369       -0.0530
     deseason       -0.5425       -1.0056       -1.0127       -0.0224       -0.0288
     deseason       -0.4882       -0.9946       -0.9647       -0.0594       -0.0660
     deseason       -0.5286       -1.0523       -0.9217       -0.0063       -0.0233
     deseason       -0.5701       -1.1292       -1.0673       -0.0185       -0.0246
     deseason       -0.5061       -0.8274       -0.7804       -0.0678       -0.0665
     deseason       -0.5123       -1.0786       -0.9511        0.0562        0.0536
