    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
        intra       -0.5697       -1.3068       -1.2385       -0.0213       -0.0315
        intra       -0.6206       -1.3619       -1.3170       -0.0421       -0.0484
        intra       -0.5525       -1.2541       -1.2326       -0.0095       -0.0105
        intra       -0.5037       -1.0196       -0.9840        0.0062       -0.0036
        intra       -0.5491       -1.1573       -1.0919        0.0188        0.0057
        intra       -0.5734       -1.3318       -1.3191        0.0399        0.0387
        intra       -0.6132       -1.3137       -1.2766        0.0140        0.0014
        intra       -0.6221       -1.4057       -1.2851       -0.0219       -0.0272
        intra       -0.6578       -1.3963       -1.4572       -0.0177       -0.0318
        intra       -0.5642       -1.1386       -1.1867        0.0131        0.0086
        intra       -0.5731       -1.0752       -1.0472       -0.0230       -0.0297
        intra       -0.5530       -1.1924       -1.1377       -0.0210       -0.0288
        intra       -0.5841       -1.1052       -1.0846        0.0270        0.0231
        intra       -0.5512       -1.0931       -1.0783        0.0107        0.0036
        intra       -0.6334       -1.4386       -1.3942       -0.0147       -0.0187
        intra       -0.5107       -1.2377       -1.2054       -0.0171       -0.0311
        intra       -0.5866       -1.2848       -1.2741       -0.0281       -0.0325
        intra       -0.5398       -1.2657       -1.2700       -0.0127       -0.0334
        intra       -0.6272       -1.2956       -1.3298        0.0055       -0.0036
        intra       -0.5678       -1.1872       -1.2106        0.0299        0.0182
        intra       -0.5581       -1.2105       -1.1836        0.0068        0.0015
        intra       -0.5489       -1.1623       -1.0855       -0.0009       -0.0104
        intra       -0.5705       -1.2729       -1.2764        0.0159        0.0049
        intra       -0.6047       -1.2417       -1.2071       -0.0093       -0.0241
        intra       -0.4944       -1.0549       -1.0124       -0.0050       -0.0150
        intra       -0.5809       -1.2189       -1.1562       -0.0077       -0.0206
        intra       -0.5218       -1.0745       -1.0506       -0.0135       -0.0209
        intra       -0.5904       -1.1543       -1.1066        0.0132        0.0075
        intra       -0.5357       -1.1996       -1.1475        0.0187        0.0025
