    Frequency     Corr coef   OLS regress  robust regress  OLS intercept  robust intercept
       season       -0.7013       -1.4557       -1.4260       -0.0142       -0.0145
       season       -0.7217       -1.6379       -1.6036       -0.0115       -0.0133
       season       -0.6775       -1.5286       -1.4980       -0.0060       -0.0053
       season       -0.6316       -1.3951       -1.3626       -0.0102       -0.0115
       season       -0.7476       -1.4730       -1.4149       -0.0003       -0.0019
       season       -0.7689       -1.3018       -1.2889        0.0076        0.0092
       season       -0.6867       -1.2005       -1.1755        0.0013        0.0018
       season       -0.6223       -1.1670       -1.1640        0.0077        0.0060
       season       -0.7053       -1.4845       -1.4660       -0.0059       -0.0076
       season       -0.7530       -1.6993       -1.6716        0.0200        0.0224
       season       -0.6544       -1.0905       -1.0589        0.0017        0.0017
       season       -0.6673       -1.3887       -1.3655        0.0092        0.0092
       season       -0.7846       -1.5667       -1.5344       -0.0054       -0.0052
       season       -0.6991       -1.2708       -1.2179        0.0103        0.0121
       season       -0.7581       -1.4575       -1.3892       -0.0135       -0.0152
       season       -0.7849       -1.6531       -1.6601       -0.0007       -0.0032
       season       -0.6958       -1.3544       -1.3642       -0.0044       -0.0081
       season       -0.7514       -1.4707       -1.4586       -0.0107       -0.0140
       season       -0.6488       -1.1620       -1.1592        0.0044        0.0067
       season       -0.6662       -1.3395       -1.3166        0.0126        0.0126
       season       -0.6572       -1.1139       -1.0651       -0.0017        0.0009
       season       -0.7555       -1.6818       -1.6708       -0.0108       -0.0093
       season       -0.7178       -1.2926       -1.2779        0.0140        0.0123
       season       -0.7529       -1.3109       -1.2821        0.0140        0.0155
       season       -0.6790       -1.3499       -1.3035       -0.0053       -0.0028
       season       -0.7554       -1.2565       -1.2322       -0.0103       -0.0088
       season       -0.7050       -1.2789       -1.2473       -0.0028       -0.0014
       season       -0.6592       -1.2377       -1.2038       -0.0063       -0.0053
       season       -0.7498       -1.4183       -1.3875        0.0009        0.0010
       season       -0.7334       -1.4417       -1.4344       -0.0083       -0.0082
       season       -0.6029       -1.0056       -0.9716        0.0067        0.0087
       season       -0.6805       -1.3767       -1.3433        0.0012        0.0037
       season       -0.7331       -1.2681       -1.2689       -0.0028        0.0022
       season       -0.7249       -1.3220       -1.3156       -0.0140       -0.0126
       season       -0.6952       -1.4617       -1.4538       -0.0031       -0.0061
       season       -0.6376       -1.1603       -1.1348       -0.0184       -0.0201
       season       -0.7433       -1.2953       -1.2911        0.0081        0.0082
       season       -0.6158       -1.2239       -1.1718        0.0208        0.0236
       season       -0.7597       -1.5701       -1.5372       -0.0001       -0.0017
       season       -0.7539       -1.5981       -1.5712       -0.0032       -0.0049
       season       -0.6553       -1.2617       -1.2584        0.0019       -0.0000
       season       -0.7288       -1.3765       -1.3544       -0.0051       -0.0038
       season       -0.7692       -1.4699       -1.4458       -0.0111       -0.0098
       season       -0.8024       -1.4814       -1.4482        0.0032        0.0038
       season       -0.7391       -1.4505       -1.4498        0.0019        0.0045
       season       -0.6491       -1.0816       -1.0797       -0.0088       -0.0077
       season       -0.7262       -1.3457       -1.3102       -0.0232       -0.0214
       season       -0.6987       -1.3399       -1.3313        0.0077        0.0067
       season       -0.7668       -1.3615       -1.2920       -0.0030        0.0004
